filename,animales/bird.jpg,animales/cat.jpg,animales/dog.jpg,animales/snake.jpg,animales/rabbit.jpg,colores/yellow.jpg,colores/red.jpg,colores/pink.jpg,colores/green.jpg,colores/blue.jpg,ropa/jacket.jpg,ropa/shoes.jpg,ropa/t_shirt.jpg,ropa/hat.jpg,ropa/trousers.jpg,colegio/calculator.jpg,colegio/school_bag.jpg,colegio/pencil.jpg,colegio/clock.jpg,colegio/eraser.jpg
animales/bird.jpg,0.03400397,0.079506844,0.03093746,0.06681584,-0.0117294,-0.044437435,-0.05118873,-0.043183453,-0.075994596,-0.039170656,-0.030991327,-0.029385213,-0.017944314,-0.0044838297,-0.020705098,0.017524838,-0.03326099,-0.017040247,0.035840068,0.040416673
animales/cat.jpg,0.041730024,0.07348697,-0.003658778,0.051531058,-0.03354212,-0.027469432,-0.019170856,-0.011122536,-0.058032837,0.008665307,0.00266787,0.03251152,0.029349584,0.02871319,0.0054961126,0.012482364,0.018687744,0.038640067,-0.0043195556,0.06030106
animales/dog.jpg,0.011197611,0.049027942,-0.071120605,-0.019470872,-0.0017818679,-0.039205804,-0.042554993,-0.03094615,-0.060577936,-0.023870636,-0.03624627,-0.018225383,0.018393777,-0.004019346,-0.0036225722,0.026430175,0.0061480417,-0.02235501,-0.016107118,0.04303073
animales/snake.jpg,0.028220115,0.07726439,0.052758075,0.0639897,-0.007007449,-0.05881943,-0.05711644,-0.04660033,-0.07741277,-0.008040281,0.009539098,0.016856736,0.032829117,0.04245001,0.038275745,0.016616624,0.031085644,0.011162581,-0.0150035005,0.06203839
animales/rabbit.jpg,0.079792455,0.03390426,-0.01847389,0.04164659,0.042997457,-0.016612908,0.014835436,-0.011114708,-0.040595092,0.012186555,0.0028240394,-0.0074509904,0.059966013,0.04970661,-0.013714848,0.05364524,-0.01177197,0.0028206112,-0.042120136,0.043264825
colores/yellow.jpg,0.07408036,0.061878234,0.04977887,0.0518672,0.041118555,-0.05330305,-0.024234686,-0.057036657,-0.033104576,-0.014781501,0.026391821,0.007662498,0.009918355,0.037413593,0.011317352,0.0048033833,0.0028361625,0.0096747875,0.043828443,0.055747807
colores/red.jpg,-0.03023443,0.07146784,0.058092233,0.041480277,-0.01289776,-0.006927182,-0.026781682,-0.04455116,-0.076237045,0.016465154,0.037480738,0.020203628,0.06108657,-0.0019923942,-0.013082863,-0.02417701,-0.009869801,-0.0030512358,-0.0045950613,0.026290948
colores/pink.jpg,0.04040978,0.028995441,0.06295846,0.10748163,0.014365621,-0.0008638197,-0.012291109,-0.06997474,-0.052154362,-0.0038461883,-0.0017567896,-0.07399815,0.019085206,0.055812716,-0.06519087,-0.040734354,0.07810885,0.021571495,-0.013694874,0.049783003
colores/green.jpg,0.060214352,0.090486325,0.07925402,0.06508255,0.007046759,0.038456827,-0.011303283,-0.0136714885,-0.018768791,0.023508934,0.037283048,-0.0062667844,0.0635391,0.036582757,-0.005273191,0.0116255535,0.02348962,0.019158984,0.048526138,0.02484216
colores/blue.jpg,-0.0016956076,0.059036765,-0.01715295,-0.02738455,-0.009879887,-0.08289517,-0.06945291,-0.062507175,-0.0569261,-0.055804387,-0.027678972,-0.054500673,-0.014495072,-0.0031142628,-0.102827705,0.053834837,0.009073087,0.009530541,-0.087276965,0.0021220504
