filename,animales/bird.jpg,animales/cat.jpg,animales/dog.jpg,animales/snake.jpg,animales/rabbit.jpg,colores/yellow.jpg,colores/red.jpg,colores/pink.jpg,colores/green.jpg,colores/blue.jpg,ropa/jacket.jpg,ropa/shoes.jpg,ropa/t_shirt.jpg,ropa/hat.jpg,ropa/trousers.jpg,colegio/calculator.jpg,colegio/school_bag.jpg,colegio/pencil.jpg,colegio/clock.jpg,colegio/eraser.jpg
animales/bird.jpg,0.32180035,0.05868299,0.059075408,0.12940004,0.12058114,0.21229866,0.2199643,0.22985773,0.24792995,0.2623877,0.13764721,0.1896208,0.16378132,0.18554913,0.18631338,0.10860245,0.15671356,0.1253873,0.15646483,0.18927911
animales/cat.jpg,0.1552769,0.28555763,0.13645348,0.1372116,0.19001564,0.22601789,0.22581638,0.21960664,0.21759741,0.20825475,0.20470752,0.16433221,0.18515891,0.15021904,0.1694351,0.11949255,0.16532171,0.16728662,0.12794845,0.1685476
animales/dog.jpg,0.13576862,0.13100213,0.28503978,0.11724689,0.19301844,0.23010966,0.22779833,0.22125709,0.22849604,0.241715,0.15099,0.18567684,0.18820772,0.1405766,0.16241537,0.105909,0.17229883,0.14818956,0.11651795,0.18438493
animales/snake.jpg,0.18991199,0.18653053,0.1548996,0.3480806,0.13680084,0.26706144,0.2230801,0.21447419,0.23239139,0.22871621,0.17729573,0.19567688,0.16767968,0.20980386,0.17098339,0.15525521,0.20756175,0.19708905,0.18086018,0.18681279
animales/rabbit.jpg,0.16371992,0.18784226,0.17770943,0.1355455,0.31565586,0.23051845,0.21872702,0.21643916,0.22029363,0.21825705,0.14964426,0.18414357,0.13442183,0.1773994,0.14667982,0.1586129,0.17153591,0.1785234,0.1410247,0.18383537
colores/yellow.jpg,0.16342881,0.12087913,0.11303015,0.17998472,0.1551593,0.29490286,0.22166127,0.22926664,0.23570229,0.23471357,0.16816181,0.1452313,0.13742784,0.12325416,0.14858405,0.1553231,0.15918976,0.17987339,0.20130351,0.18400927
colores/red.jpg,0.119204044,0.15991493,0.15135589,0.16505207,0.17357135,0.23951064,0.29351273,0.24841723,0.22171728,0.23258403,0.22261658,0.16268355,0.16988218,0.14278223,0.17160714,0.15435643,0.16401377,0.28111506,0.15617025,0.25167808
colores/pink.jpg,0.17860097,0.1691819,0.17070079,0.12532163,0.19902433,0.22877324,0.23511232,0.27775624,0.21910247,0.23284069,0.19703284,0.18731898,0.196021,0.16533649,0.14410299,0.15000638,0.18042682,0.19951911,0.17957342,0.2516783
colores/green.jpg,0.20863092,0.15309678,0.15455587,0.17032534,0.23233107,0.26065344,0.23680878,0.23050734,0.31231824,0.2480606,0.18517627,0.18987393,0.18615353,0.20606479,0.25251716,0.16026527,0.2386391,0.20507932,0.17231242,0.21856983
colores/blue.jpg,0.1897086,0.16527845,0.1739526,0.15173048,0.18757968,0.24271813,0.24505815,0.23869713,0.24403673,0.28507355,0.19204709,0.22762989,0.19715971,0.18878499,0.16897492,0.16714463,0.20518191,0.19174577,0.18700626,0.24180374
